Carrier,carrier_clustered
CENTRAL GULF LINES INC,CENTRAL GULF LINES INC
FOPPIANI SHIPPING & LOGISTICS S R L,FOPPIANI SHIPPING & LOGISTICS S R L
WORLDTRANS AIR-SEA SERVICE A/S WASO,WORLDTRANS AIR-SEA SERVICE A/S WASO
SEASCHOTT,SEASCHOTT
TRANSATLANTIC LINES LLC,TRANSATLANTIC LINES LLC
INTERSCAN SCHIFFAHRTS GMBH,INTERSCAN SCHIFFAHRTS GMBH
EXPRESS LOGISTICS SERVICES LLC,EXPRESS LOGISTICS SERVICES LLC
ATX INTERNATIONAL SRL,ATX INTERNATIONAL SRL
SC LINE S A,SC LINE S A
A S C LINES,A S C LINES
TATSUMI INTERMODAL (U S A) INC,TATSUMI INTERMODAL (U S A) INC
ABIS SHIPPING,ABIS SHIPPING
DSM SHIPMANAGEMENT CO,DSM SHIPMANAGEMENT CO
CARL POLZIN LOGISTIKDIENSTLEISTUNGEN GMBH,CARL POLZIN LOGISTIKDIENSTLEISTUNGEN GMBH
FOSS MARITIME COMPANY,FOSS MARITIME COMPANY
REEDEREI THEKLA SCHEPERS GMBH & CO KG,REEDEREI THEKLA SCHEPERS GMBH & CO KG
JAN DE NUL N V,JAN DE NUL N V
SCHUYLER LINE NAVIGATION COMPANY LLC,SCHUYLER LINE NAVIGATION
TTS TANKER TRANSPORT SERVICES BV,TTS TANKER TRANSPORT SERVICES BV
HAFNIA POOLS PTE LTD,HAFNIA POOLS PTE LTD
HBC HAMBURG BULK CARRIERS GMBH & CO KG,HBC HAMBURG BULK CARRIERS GMBH & CO KG
TRANS SEA TRANSPORT NV,TRANS SEA TRANSPORT NV
MEDI SUPRA POOL MANAGEMENT LIMITED,MEDI SUPRA POOL MANAGEMENT LIMITED
CSAV SUD AMERICANA DE VAPORES S A,CSAV SUD AMERICANA DE VAPORES S A
COOL CARRIERS,COOL CARRIERS
STEVENS TRANSPORTATION LLC,STEVENS TRANSPORTATION LLC
CG RAILWAY INC,CG RAILWAY INC
SOJITZ LOGISTICS CORPORATION,SOJITZ LOGISTICS CORPORATION
NNR GLOBAL LOGISTICS,NNR GLOBAL LOGISTICS
HANKYU HANSHIN EXPRESS CO LTD,HANKYU HANSHIN EXPRESS CO LTD
RENUS LOGISTICS PTE LTD,RENUS LOGISTICS PTE LTD
NNR GLOBAL LOGISTICS (S) PTE LTD,NNR GLOBAL LOGISTICS
MITSUI & CO GLOBAL LOGISTICS LTD,MITSUI & CO GLOBAL LOGISTICS LTD
CORAL SHIPPING CO LTD,CORAL SHIPPING CO LTD
ISEWAN U S A INC,ISEWAN U S A INC
TRANSCONTAINER LTD,TRANSCONTAINER LTD
AVIATION JEWELRY LTD,AVIATION JEWELRY LTD
WORLD CONSOLIDATORS,WORLD CONSOLIDATORS
NS LINE,NS LINE
NYK LOGISTICS (JAPAN) CO LTD,NYK LOGISTICS (AMERICAS) INC
JAPAN VAN LINES CO LTD,JAPAN VAN LINES CO LTD
VANTEC CORPORATION,VANTEC CORPORATION
"KEIHIN CO LTD, THE","KEIHIN CO LTD, THE"
HITACHI TRANSPORT SYSTEM LTD,HITACHI TRANSPORT SYSTEM LTD
SUMITOMO WAREHOUSE CO LTD,SUMITOMO WAREHOUSE CO LTD
JAPAN STAR CORPORATION,JAPAN STAR CORPORATION
H & FRIENDS FREIGHT INC,H & FRIENDS FREIGHT INC
GREAT AMERICAN LINES INC,GREAT AMERICAN LINES INC
TOYOFUJI SHIPPING CO LTD,TOYOFUJI SHIPPING CO LTD
LEO GLOBAL LOGISTICS PUBLIC COMPANY LIMITED,LEO GLOBAL LOGISTICS CO LTD
"FORMEL, STEVENSON FREIGHT SERVICES LLC","FORMEL, STEVENSON FREIGHT SERVICES LLC"
TOKO LINE,TOKO LINE
AMARINE SHIPPING CO LTD,AMARINE SHIPPING CO LTD
SANYO SHIPPING CO LTD,SANYO SHIPPING CO LTD
AM WORLD LOGISTICS INC,AM WORLD LOGISTICS INC
ZIMEX LOGISTICS INC,ZIMEX LOGISTICS INC
TEAM GLOBAL LOGISTICS PVT LTD,TEAM GLOBAL LOGISTICS CO LTD
SEARIDERS,SEARIDERS
NS UNITED KAIUN KAISHA LTD,NS UNITED KAIUN KAISHA LTD
LCL LINES,LCL LINES
SHINWA KAIUN KAISHA LTD,SHINWA KAIUN KAISHA LTD
NNR GLOBAL LOGISTICS (KOREA) CO LTD,NNR GLOBAL LOGISTICS
ACT MARITIME CO LTD,ACT MARITIME CO LTD
WATERMAN STEAMSHIP CORPORATION,WATERMAN STEAMSHIP CORPORATION
BOYANG LTD,BOYANG LTD
REEDEREIGRUPPE FREESE,REEDEREIGRUPPE FREESE
SANDIGAN SHIP SERVICES INC,SANDIGAN SHIP SERVICES INC
SEA-ROAD INTERNATIONAL INC,SEA-ROAD INTERNATIONAL INC
IMPEX GLS INC,IMPEX GLS INC
INTERPORT GLOBAL LOGISTICS USA INC,INTERPORT GLOBAL LOGISTICS USA INC
CLIPPER CLIPPER TANKERS SHIPPING LTD,CLIPPER CLIPPER TANKERS SHIPPING LTD
CHEMICAL TRADER SHIPPING COMPANY LIMITED,CHEMICAL TRADER SHIPPING COMPANY LIMITED
ATLANTIK DENIZCILIK TICADET VE SANAYI A S,ATLANTIK DENIZCILIK TICADET VE SANAYI A S
M & R LOGISTICS (INDIA) PVT LTD,M & R LOGISTICS (INDIA) PVT LTD
MIP DE REYNOSA SA DE CV,MIP DE REYNOSA SA DE CV
LORDS FREIGHT INDIA PRIVATE LIMITED,LORDS FREIGHT INDIA PRIVATE LIMITED
EMU,EMU
CAR GO WORLDWIDE INC,CAR GO WORLDWIDE INC
TRANSCON LOGISTIC SERVICES INC,TRANSCON LOGISTIC SERVICES INC
UWL LINES PTE LTD,UWL LINES PTE LTD
LCL LOGISTIX (INDIA) PVT LTD - LCL LINES,LCL LOGISTIC LLC
JEENA AND CO PVT LTD,JEENA AND CO PVT LTD
S J LOGISTICS (INDIA) PVT LTD,S J LOGISTICS (INDIA) PVT LTD
SOMA UNIVERSAL LOGISTICS PRIVATE LTD,SOMA UNIVERSAL LOGISTICS PRIVATE LTD
TAURUS FORWARDERS PVT LTD,TAURUS FORWARDERS PVT LTD
SHIKHAR LOGISTICS PRIVATE LIMITED,SHIKHAR LOGISTICS PRIVATE LIMITED
UNIWORLD LOGISTICS PTE LTD,UNIWORLD LOGISTICS PTE LTD
SEAIR GLOBAL PRIVATE LIMITED,SEAIR GLOBAL PRIVATE LIMITED
H T L LOGISTICS INDIA PRIVATE LIMITED,H T L LOGISTICS INDIA PRIVATE LIMITED
SAR TRANSPORT SYSTEMS PVT LTD,SAR TRANSPORT SYSTEMS PRIVATE LIMITED
FREIGHT LINKS INTERNATIONAL (PTE) LTD,FREIGHT LINKS INTERNATIONAL (PTE) LTD
WESTWIND SHIPPING AND LOGISTICS PRIVATE LIMITED,WESTWIND SHIPPING AND LOGISTICS PRIVATE LIMITED
AMERICAN  OCEAN  LINE INC,AMERICAN  OCEAN  LINE INC
J R ROADLINES PVT LTD,J R ROADLINES PVT LTD
SEVEN SEAS SHIPPING USA INC,SEVEN SEAS SHIPPING USA INC
MATRIX FREIGHT SYSTEMS PRIVATE LIMITED,MATRIX FREIGHT SYSTEMS PRIVATE LIMITED
WORLDWIDE LOGISTICS (INDIA) PVT LTD,WORLDWIDE LOGISTICS (INDIA) PVT LTD
GATEWAY INTERNATIONAL LLC,GATEWAY INTERNATIONAL LLC
SCHAEFCO INTERNATIONAL,SCHAEFCO INTERNATIONAL
TIGER LOGISTICS INDIA LTD,TIGER LOGISTICS INDIA LTD
CONCORDE SHIPPING INC,CONCORDE SHIPPING INC
PHOENIX INTL FREIGHT SERVICES PVT LTD,PHOENIX INTERNATIONAL
EVERFAST FREIGHT FORWARDERS (P) LTD,EVERFAST FREIGHT FORWARDERS (P) LTD
MTI WORLDWIDE LOGISTICS CORPORATION,MTI WORLDWIDE LOGISTICS CORPORATION
MONTANE SHIPPING PRIVATE LIMITED,MONTANE SHIPPING PRIVATE LIMITED
FORIN CONTAINER LINE,FORIN CONTAINER LINE
MARINETRANS INDIA PVT LTD,MARINETRANS INDIA PVT LTD
PROLOG INTERNATIONAL INC (NOVA MARINE SERVICE),PROLOG INTERNATIONAL INC
SUNITRANS LOGISTICS PRIVATE LIMITED,SUNITRANS LOGISTICS PRIVATE LIMITED
ARCHERS CARGO EXPRESS PRIVATE LIMITED,ARCHERS CARGO EXPRESS INC
NNR GLOBAL LOGISTICS INDIA PVT LTD,NNR GLOBAL LOGISTICS
LOGIC TRANSWARE (I) PVT LTD,LOGIC TRANSWARE (I) PVT LTD
SOFRITO CAMPOLOR,SOFRITO CAMPOLOR
TOTAL TRANSPORT SYSTEMS LTD,TOTAL TRANSPORT SYSTEMS LTD
MAGELLAN MARITIME LTD,MAGELLAN MARITIME LTD
TRIPATH LOGISTICS PRIVATE LIMITED,TRIPATH LOGISTICS PRIVATE LIMITED
GGL LINES INC,GGL LINES INC
AEROMAR LOGISTICS INDIA PVT LTD,AEROMAR LOGISTICS INDIA PVT LTD
FIL LINES USA INC,FIL LINES USA INC
ALLTRANS LINES PTE LTD,ALLTRANS LINES PTE LTD
EDEN LOGISTICS PVT LTD,EDEN LOGISTICS PVT LTD
STAR INDIA CONTAINER LINE PVT LTD,STAR INDIA CONTAINER LINE PVT LTD
GLOBELINE SHIPPING INC,GLOBELINE SHIPPING INC
AIR SEVEN (7) SEAS TRANSPORT LOGISTICS INC,AIR SEVEN (7) SEAS TRANSPORT LOGISTICS INC
EXPOLANKA USA LLC,EXPOLANKA FREIGHT LIMITED
CNC SHIPPING & AIR FREIGHT CO LTD,CNC SHIPPING & AIR FREIGHT CO LTD
LAVINSTAR LOGISTICS INC,LAVINSTAR AMERICA INC
ASSOCIATED CONTAINER LINE PVT LTD,ASSOCIATED CONTAINER LINE PVT LTD
ARCHERS CARGO EXPRESS INC,ARCHERS CARGO EXPRESS INC
KEY INTERNATIONAL SHIPPING,KEY INTERNATIONAL SHIPPING
SCORPIO PANAMAX TANKER POOL LTD,SCORPIO PANAMAX TANKER POOL LTD
EARTHTECH ENERGY SOLUTIONS LLC,EARTHTECH ENERGY SOLUTIONS LLC
GLOBAL GALAN LOGISTICS INC,GLOBAL GALAN LOGISTICS INC
CARIBE FREIGHT FORWARDING OF PUERTO RICO INC,CARIBE FREIGHT FORWARDING OF PUERTO RICO INC
RAZOR ENTERPRISE INC,RAZOR ENTERPRISE INC
CL SYNERGY (PVT) LTD,CL SYNERGY (PVT) LTD
MERCIMPEX SRL,MERCIMPEX SRL
NEW DIREX INC,NEW DIREX INC
APS LOGISTICS INTERNATIONAL (PVT) LTD,APS LOGISTICS INTERNATIONAL (PVT) LTD
JF INTL LOGISITCS INC,JF INTL LOGISITCS INC
H FOLMER & CO,H FOLMER & CO
HR VERA GMBH & CO KG,HR VERA GMBH & CO KG
HANSSY SHIPPING PTE LTD,HANSSY SHIPPING PTE LTD
SE SHIP MANAGEMENT PTE LTD,SE SHIP MANAGEMENT PTE LTD
LIGHTHOUSE NAVIGATION CO LTD,LIGHTHOUSE NAVIGATION AS
SEA SHIPPING LINE (CALIFORNIA) INC,SEA SHIPPING LINE (CALIFORNIA) INC
OCEANWIDE SERVICES GMBH,OCEANWIDE SERVICES GMBH
BW SHIPS DMCC,BW SHIPS DMCC
SE SHIPPING LINES PTE LTD,SE SHIPPING LINES PTE LTD
SCAN GLOBAL LOGISTICS,SCAN GLOBAL LOGISTICS
CHINA STEEL EXPRESS CORP,CHINA STEEL EXPRESS CORP
SEASHELL LOGISTICS PVT LTD,SEASHELL LOGISTICS PVT LTD
LITHUANIAN SHIPPING COMPANY PLC,LITHUANIAN SHIPPING COMPANY PLC
GMB MARITIME LINER SERVICES GMBH & CO KG,GMB MARITIME LINER SERVICES GMBH & CO KG
XO SHIPPING A/S,XO SHIPPING A/S
BELUGA CHARTERING GMBH,BELUGA CHARTERING GMBH
CAYTRANS PROJECT SERVICES (AMERICAS) LTD,CAYTRANS PROJECT SERVICES (AMERICAS) LTD
MARTRADE SHIPPING AND TRANSPORT GMBH,MARTRADE SHIPPING AND TRANSPORT GMBH
BOCONTI SHIPPING NV,BOCONTI SHIPPING NV
RG SHIPPING INTERNATIONAL,RG SHIPPING INTERNATIONAL
SUISSE ATLANTIQUE SOCIETE DE NAVIGATION MARITIME SA,SUISSE ATLANTIQUE SOCIETE DE NAVIGATION MARITIME SA
BALTNAV A/S,BALTNAV A/S
TST N V,TST N V
"POULSEN, J SHIPPING","POULSEN, J SHIPPING"
ANDES LOGISTICS USA LLC,ANDES LOGISTICS USA LLC
POSEY INTERNATIONAL INC,POSEY INTERNATIONAL INC
CARGO NET USA LLC,CARGO NET USA LLC
SOUTH PACIFIC SHIPPING COMPANY LIMITED INC,SOUTH PACIFIC SHIPPING COMPANY LIMITED INC
WORLD COMMERCE FORWARDING INC,WORLD COMMERCE FORWARDING INC
A G C INTERNACIONAL S A,A G C INTERNACIONAL S A
CENTAURO S A,CENTAURO S A
NEXUS LOGISTICS S A DBA NEXUS S A,NEXUS LOGISTICS S A DBA NEXUS S A
MARINE EXPRESS INC,MARINE EXPRESS INC
ADVANCED LOGISTICS INC,ADVANCED LOGISTICS INC
TRANSFRUT EXPRESS LIMITED,TRANS BORDER GLOBAL FREIGHT SYSTEMS INC
BANACOL MARKETING CORPORATION,BANACOL MARKETING CORPORATION
ALTEX CHARTERED INC,ALTEX CHARTERED INC
STAR REEFERS UK LTD,STAR REEFERS UK LTD
AMCAR FREIGHT INC,AMCAR FREIGHT INC
UAL UNIVERSAL AMERICAS LINES B V,UAL UNIVERSAL AMERICAS LINES B V
CAYTRANS BBC LLC,CAYTRANS BBC LLC
WEST COAST INDUSTRIAL EXPRESS,WEST COAST INDUSTRIAL EXPRESS
DANGEROUS & DRY CARGO S A,DANGEROUS & DRY CARGO S A
FRONTIER LINER SERVICES INC,FRONTIER LINER SERVICES INC
DOUBLE ACE CARGO INC,DOUBLE ACE CARGO INC
LCL,LCL
NETWORK SHIPPING LTD (A LIBERIAN COMPANY),NETWORK SHIPPING LTD (A LIBERIAN COMPANY)
DOLE FRESH FRUIT INTERNATIONAL LIMITED,DOLE FRESH FRUIT INTERNATIONAL LIMITED
TROPICAL FRUIT AMERICAS LLC,TROPICAL FRUIT AMERICAS LLC
GREAT WHITE FLEET LTD,GREAT WHITE FLEET CORP
TOP SHIPPING SYSTEMS CORP,TOP SHIPPING SYSTEMS CORP
LINEA PENINSULAR INC,LINEA PENINSULAR INC
MID-GULF SHIPPING CO INC,MID-GULF SHIPPING CO INC
HORNBECK OFFSHORE SERVICES LLC,HORNBECK OFFSHORE SERVICES LLC
SEACAPE LOGISTICS AND MANAGEMENT SERVICES INC,SEACAPE LOGISTICS AND MANAGEMENT SERVICES INC
LV SHIPPING (USA) INC,LV SHIPPING (USA) INC
CARGO TOURS INTERNATIONAL INC,CARGO TOURS INTERNATIONAL INC
JANEL GROUP INC,JANEL GROUP INC
CONTAINER LINE MANAGEMENT BVBA,CONTAINER LINE MANAGEMENT BVBA
TRANSCARIBBEAN MARITIME CORP,TRANSCARIBBEAN MARITIME CORP
"PASHA GROUP, THE","PASHA GROUP, THE"
TRANSPETROL MARITIME SERVICES LTD,TRANSPETROL MARITIME SERVICES LTD
COMPASS LINES,COMPASS LINES
BROCHART KB,BROCHART KB
PETREDEC LTD BERMUDA,PETREDEC LTD BERMUDA
EIGER SHIPPING S A,EIGER SHIPPING S A
PRINCESS CRUISES,PRINCESS CRUISES
HARBOR BUNKERING CORPORATION,HARBOR BUNKERING CORPORATION
WATER SPIRIT FREIGHT SERVICES,WATER SPIRIT FREIGHT SERVICES
NIEVES MARITIME CORP,NIEVES MARITIME CORP
FERROL TRUCKING SERVICES,FERROL TRUCKING SERVICES
BLUE WATER MARITIME INC,BLUE WATER MARITIME INC
SILVERSEA CRUISES LTD,SILVERSEA CRUISES LTD
NETMAR 1992 INC,NETMAR 1992 INC
"JONES, HARVEY VESSEL AGENTS INC","JONES, HARVEY VESSEL AGENTS INC"
AMERICAN TUGS INCORPORATED,AMERICAN TUGS INCORPORATED
P TWO P (P2P) LOGISTICS,P TWO P (P2P) LOGISTICS
FERCAM SPA,FERCAM SPA
DO CA SRL,DO CA SRL
EURO ITALIAN FREIGHT SYSTEMS SRL,EURO ITALIAN FREIGHT SYSTEMS SRL
RELIABLE SHIPPING SERVICES INC,RELIABLE SHIPPING INC
FIORINO SHIPPING SRL,FIORINO SHIPPING SRL
TS LINES,TS LINES
NETBONDS,NETBONDS
GLOBETRANS INTERNATIONAL,GLOBETRANS INTERNATIONAL
SCM FORWARDER SPA,SCM FORWARDER SPA
CENTRO SPEDIZIONI INTERNAZIONALI SRL,CENTRO SPEDIZIONI INTERNAZIONALI SRL
NTM GLOBAL LTD,NTM GLOBAL LTD
MEEHAN INTERNATIONAL  LOGISTICS INC,MEEHAN INTERNATIONAL  LOGISTICS INC
AETNA FORWARDING INC,AETNA FORWARDING INC
SUNSHIP SCHIFFAHRTSKONTOR KG,SUNSHIP SCHIFFAHRTSKONTOR KG
TRANS SHIPPING INTERNATIONAL,TRANS SHIPPING INTERNATIONAL
ROYAL CARIBBEAN CRUISE LINE,ROYAL CARIBBEAN CRUISE LINE
DLS TRUCKING ENTERPRISES INC,DLS TRUCKING ENTERPRISES INC
SALVIATI AND SANTORI S P A,SALVIATI AND SANTORI S P A
CONFREIGHT BELGIUM N V,CONFREIGHT BELGIUM N V
EXPELOGIX (PVT) LTD,EXPELOGIX (PVT) LTD
M & J TRADING AND LOGISTICS LLC,M & J TRADING AND LOGISTICS LLC
OCEAN GATE CHARTERING INC,OCEAN GATE CHARTERING INC
SNUG S R L,SNUG S R L
KAALBYE SHIPPING UKRAINE,KAALBYE SHIPPING UKRAINE
CONTI-LINES SHIPPING NV,CONTI-LINES SHIPPING NV
NAVALMAR (UK) LTD,NAVALMAR (UK) LTD
GENERAL MARITIME AGENCY INC,GENERAL MARITIME AGENCY INC
TEEGRUS MANAGEMENT & AGENCY INC,TEEGRUS MANAGEMENT & AGENCY INC
KANSAN MARINE INC,KANSAN MARINE INC
INTERNAUT SHIPPING GMBH,INTERNAUT SHIPPING GMBH
SSI OCEAN SERVICES INC,SSI OCEAN SERVICES INC
ANTILLEAN MARINE SHIPPING CORP,ANTILLEAN MARINE SHIPPING CORP
COOL CARRIERS AB,COOL CARRIERS AB
NOVA MARINE CARRIERS SA,NOVA MARINE CARRIERS SA
BROINTERMED LINES LTD,BROINTERMED LINES LTD
MARLOW NAVIGATION COMPANY LTD,MARLOW NAVIGATION COMPANY LTD
FARGO FREIGHT SA,FARGO FREIGHT SA
WORLD DIRECT SHIPPING LLC,WORLD DIRECT SHIPPING LLC
LNL (CAMBODIA) CO LTD,LNL (CAMBODIA) CO LTD
CJ KOREA EXPRESS CORPORATION,CJ KOREA EXPRESS CORPORATION
BSL NETWORKS INC,BSL NETWORKS INC
BRIGHT STAR LOGISTICS,BRIGHT STAR LOGISTICS
CJ GLS AMERICA INC,CJ GLS AMERICA INC
JH INTERNATIONAL SHIPPING,JH INTERNATIONAL SHIPPING
YOUNG CHEON LOGISTICS CO LTD,YOUNG CHEON LOGISTICS CO LTD
NEW WORLD SHIPPING CO LTD,NEW WORLD SHIPPING CO LTD
ENC INC,ENC INC
NEXEN L & C CORPORATION,NEXEN L & C CORPORATION
KUKBO LOGIX CO LTD,KUKBO LOGIX CO LTD
OTA AMERICA INC,OTA AMERICA INC
GNFB3 CO INC,GNFB3 CO INC
KORAX CO LTD,KORAX CO LTD
CARGO GATE INTERNATIONAL INC,CARGO GATE INTERNATIONAL INC
SPC GFS,SPC GFS
IMPRIANO TRUCKING LLC,IMPRIANO TRUCKING LLC
TOP LOGISTICS KOREA CO LTD,TOP LOGISTICS KOREA CO LTD
BALHAI LOGISTICS CO LTD,BALHAI LOGISTICS CO LTD
BESTRO LOGIX CO LTD,BESTRO LOGIX CO LTD
CMS LOGISITICS INC,CMS LOGISITICS INC
TLC EXPRESS LINES,TLC EXPRESS LINES
PACIFIC GLOBAL LOGISTICS CO LTD,PACIFIC GLOBAL LOGISTICS CO LTD
INTERCARGO LOGISTICS INC,INTERCARGO LOGISTICS INC
SEBANG EXPRESS CO LTD,SEBANG EXPRESS CO LTD
KORSTAR SHIPPING CO LTD,KORSTAR SHIPPING CO LTD
HANSAENG EXPRESS CO LTD,HANSAENG EXPRESS CO LTD
MARE CONSOLIDATION CO LTD,MARE CONSOLIDATION CO LTD
WBL CO LTD,WBL CO LTD
UNICO LOGISTICS USA INC,UNICO LOGISTICS USA INC
PNL NETWORKS LTD,PNL NETWORKS LTD
KYUNG SUNG SEA & AIR CO LTD,KYUNG SUNG SEA & AIR CO LTD
FORMAN SHIPPING CO LTD,FORMAN SHIPPING CO LTD
FEG LOGISTICS INC,FEG LOGISTICS INC
FNROAD KOREA,FNROAD KOREA
ALBESTER SYSTEM CO LTD,ALBESTER SYSTEM CO LTD
ALLSTATE INTL FREIGHT USA INC DBA A I F COMPANY,ALLSTATE INTL FREIGHT USA INC DBA A I F COMPANY
SUH JIN TRANSPORT & TRADE CO LTD,SUH JIN TRANSPORT & TRADE CO LTD
FINEX,FINEX
ALPS LOGISTICS (KOREA) CO LTD,ALPS LOGISTICS (KOREA) CO LTD
SPEEDWAY FREIGHT SERVICES INC,SPEEDWAY FREIGHT SERVICES INC
YOYO LOGIX CO LTD,YOYO LOGIX CO LTD
DONGSUE SHIPPING CO LTD,DONGSUE SHIPPING CO LTD
ANA LINK LTD,ANA LINK LTD
PNL INTERNATIONAL CO LTD,PNL INTERNATIONAL CO LTD
S S R,S S R
HAMEX CO LTD,HAMEX CO LTD
MC EXPRESS INTL CO LTD,MC EXPRESS INTL CO LTD
EXTRANS LAX INC,EXTRANS LAX INC
SUN BAY INTERNATIONAL,SUN BAY INTERNATIONAL
CARGOGULF INC,CARGOGULF INC
IMEX INTERNATIONAL CO LTD,IMEX INTERNATIONAL CO LTD
ASAN MERCHANT MARINE CO LTD,ASAN MERCHANT MARINE CO LTD
WOOYANG SHIPPING CO LTD,WOOYANG SHIPPING CO LTD
SUNGWON SEA & AIR CO LTD,SUNGWON SEA & AIR CO LTD
GLOVIS CO LTD,GLOVIS CO LTD
POLYNESIA LINE LTD,POLYNESIA LINE LTD
SEGANG SHIPPING CO LTD,SEGANG SHIPPING CO LTD
DAELIM CORPORATION DBA DAELIM CORPORATION CO LTD,DAELIM CORPORATION
DAELIM CORPORATION,DAELIM CORPORATION
PAKOIL DENIZCILIK TICARET VE SANAYI LIMITED SIRKETI,PAKOIL DENIZCILIK TICARET VE SANAYI LIMITED SIRKETI
MEADWAY SHIPPING AND TRADING INC,MEADWAY SHIPPING AND TRADING INC
TOPSHEEN SHIPPING LIMITED,TOPSHEEN SHIPPING LIMITED
SCM LINES,SCM LINES
TERMINALES MARITIMAS TRANSUNISA SA DE CV,TERMINALES MARITIMAS TRANSUNISA SA DE CV
STAR WAY SHIPPING LTD,STAR WAY SHIPPING LTD
KIRBY OFFSHORE MARINE,KIRBY OFFSHORE MARINE
KWANGYANG MARINE CO LTD,KWANGYANG MARINE CO LTD
KOREA LINE CORPORATION,KOREA LINE CORPORATION
"GEORGE, ALLEN","GEORGE, ALLEN"
MASTERPIECE INTERNATIONAL LIMITED,MASTERPIECE INTERNATIONAL LIMITED
E TWO E (E2E) LOGISTICS SOLUTIONS SL,E TWO E (E2E) LOGISTICS SOLUTIONS SL
TRANSUNION AMERICA INC,TRANS-UNION GROUP NY CO LTD
C I CONTAINER LINE,C I CONTAINER LINE
TRANSITEX TRANSITOS DE EXTREMADURA USA CORP,TRANSITEX TRANSITOS DE EXTREMADURA USA CORP
ALBION GOLF CARS,ALBION GOLF CARS
SEAMAR FREIGHT INTERNATIONAL INC,SEAMAR FREIGHT INTERNATIONAL INC
A M CARGO CASTELLON S L,A M CARGO CASTELLON S L
FGN GLOBAL LOGISTICS INC,FGN GLOBAL LOGISTICS INC
BROOKS RANGE AVIATION,BROOKS RANGE AVIATION
MARIMED SHIPPING INC,MARIMED SHIPPING INC
ASPHALTOS TRADE S A,ASPHALTOS TRADE S A
LOTT SHIP AGENCY INC,LOTT SHIP AGENCY INC
BETALINK USA LLC,BETALINK USA LLC
ALL CARTAGE EXPRESS LLC,ALL CARTAGE EXPRESS LLC
TECH CARGO,TECH CARGO
NAVIERA DE GALICIA S A,NAVIERA DE GALICIA S A
TRANSGULF LLC,TRANSGULF LLC
KGJS CEMENT A/S,KGJS CEMENT A/S
LD SEAPLANE S A S,LD SEAPLANE S A S
TRINITY SHIPPING LINE S A,TRINITY SHIPPING LINE S A
WORLDBRIDGE SHIPPING INC,WORLDBRIDGE SHIPPING INC
K TWO (K2) SHIPPING,K TWO (K2) SHIPPING
UNIVERSAL SOLUTIONS GROUP LLC,UNIVERSAL SOLUTIONS GROUP LLC
METALLOINVEST LOGISTICS AG,METALLOINVEST LOGISTICS AG
BLOMERIN MARINE MANAGEMENT GROUP LTD,BLOMERIN MARINE MANAGEMENT GROUP LTD
PHAETHON INTERNATIONAL COMPANY SA,PHAETHON INTERNATIONAL COMPANY AG
KOREA SHIPPING CORPORATION,KOREA SHIPPING CORPORATION
YM EVEREST SHIPPING LIMITED,YM EVEREST SHIPPING LIMITED
HAV SHIP MANAGEMENT AS,HAV SHIP MANAGEMENT AS
MINERVA MARINE INC,MINERVA MARINE INC
SBI CHARTERING AND TRADING LTD,SBI CHARTERING AND TRADING LTD
CYPRUS SEA LINES CO LTD,CYPRUS SEA LINES CO LTD
SCORPIO SHIP MANAGEMENT SAM,SCORPIO SHIP MANAGEMENT SAM
CHIOS NAVIGATION (HELLAS) LTD,CHIOS NAVIGATION (HELLAS) LTD
NORVIC SHIPPING NORTH AMERICA INC,NORVIC SHIPPING INTERNATIONAL LTD
JX OCEAN CO LTD,JX OCEAN CO LTD
SINANO SHIPMANAGEMENT LIMITED,SINANO SHIPMANAGEMENT LIMITED
INUI STEAMSHIP CO LTD,INUI STEAMSHIP CO LTD
FAIRWEATHER STEAMSHIP CO LTD,FAIRWEATHER STEAMSHIP CO LTD
POLA MARITIME LTD,POLA MARITIME LTD
AQUAVITA INTERNATIONAL SA,AQUAVITA INTERNATIONAL SA
LOOP LLC,LOOP LLC
TMS TANKERS LTD,TMS TANKERS LTD
F & L TRANSPORTES,F & L TRANSPORTES
INTERGIS CO LTD,INTERGIS CO LTD
DRACO FREIGHT LOGISTICS CORPORATION,DRACO FREIGHT LOGISTICS CORPORATION
SWORDFISH SHIPPING INC,SWORDFISH SHIPPING INC
NEWPORT CARGO S A,NEWPORT CARGO S A
NORGISTICS NORTH AMERICA INC,NORGISTICS NORTH AMERICA INC
NORTH AMERICAN GENERAL AGENTS INC,NORTH AMERICAN GENERAL AGENTS INC
TRANSMARITIMA S A,TRANSMARITIMA S A
ONBOARD LOGISTICS USA INC,ONBOARD LOGISTICS USA INC
MANAGEMENT CONSULTANT BROKERAGE INC,MANAGEMENT CONSULTANT BROKERAGE INC
TRANS WORLD LOGISTICS LLC,TRANS BORDER GLOBAL FREIGHT SYSTEMS INC
NCDS TRANSPORT LLC,NCDS TRANSPORT LLC
RAPIDUS (PROMPTUS LLC),RAPIDUS (PROMPTUS LLC)
CROWLEY LINER SERVICES INC,CROWLEY LINER SERVICES INC
ADM INTERNATIONAL SARL,ADM INTERNATIONAL SARL
NAVIERA CHILENA DEL PACIFICO S A,NAVIERA CHILENA DEL PACIFICO S A
ASPEN MARITIME CORP,ASPEN MARITIME CORP
INTERNATIONAL CONSOLIDATOR PHILIPPINES INC,A & A INTERNATIONAL FREIGHT FORWARDERS
GEP INTERNATIONAL FREIGHT FORWARDER INC,GBP INTERNATIONAL INC
